step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
439,429532,1756,0.16381658844712324,0.0,0.9038461538461539
440,430368,1760,0.16749635587922518,0.75,0.9866666666666667
441,431620,1764,0.15690376871260467,0.5,0.9714285714285714
442,432200,1768,0.15990935860875732,0.25,0.9423076923076923
443,433292,1772,0.15295108303300312,0.25,0.9545454545454546
444,433904,1776,0.2093041830309964,0.25,0.9523809523809523
445,435060,1780,0.14403534929152775,0.25,0.96875
446,436216,1784,0.120382406102692,0.25,0.9528301886792453
447,437468,1788,0.14863942997159446,0.0,0.9074074074074074
448,438688,1792,0.12879540353426364,0.25,0.9666666666666667
449,439396,1796,0.16071493868526818,0.5,0.9850746268656716
450,439880,1800,0.1901642328113468,0.25,0.958904109589041
451,440332,1804,0.15141428226760242,0.75,0.9836065573770492
452,442704,1808,0.1166164230468121,0.25,0.9285714285714286
453,443924,1812,0.1186974083672509,0.25,0.9629629629629629
454,444568,1816,0.1655225080296001,0.5,0.9545454545454546
455,445756,1820,0.1658722480683294,0.5,0.9814814814814815
456,446400,1824,0.1845275919837293,0.5,0.9583333333333334
457,447300,1828,0.1609379533621784,0.5,0.9767441860465116
458,448584,1832,0.08645975399168955,1.0,1.0
459,449324,1836,0.12359838539233925,0.5,0.9844961240310077
460,450096,1840,0.12979216264306845,0.75,0.9915966386554622
461,451188,1844,0.14952414111249718,0.25,0.9574468085106383
462,451800,1848,0.20069079583574473,0.25,0.953125
463,452572,1852,0.12215210943087107,0.5,0.868421052631579
464,454624,1856,0.113957401884726,1.0,1.0
465,455428,1860,0.12921640279798002,0.0,0.96
466,456072,1864,0.15437933425286274,0.5,0.971830985915493
467,456588,1868,0.14725643645677436,0.75,0.975609756097561
468,457584,1872,0.1353591744513847,0.5,0.963963963963964
469,458772,1876,0.17279720551491887,0.25,0.9318181818181818
470,461016,1880,0.09442101322313205,0.25,0.9607843137254902
471,462236,1884,0.12848419509874867,0.25,0.9565217391304348
472,463040,1888,0.1883100109407955,0.75,0.9941176470588236
473,463556,1892,0.1532897166218401,0.5,0.9473684210526315
474,465384,1896,0.165258672932444,0.5,0.9625
475,465964,1900,0.1612001435654048,0.25,0.9714285714285714
476,466608,1904,0.1501938255780496,0.5,0.9454545454545454
477,467668,1908,0.12081575617556199,0.0,0.9354838709677419
478,468568,1912,0.12366193666029172,0.25,0.948051948051948
